ProvinceCode,Province,DistrictCode,District,ChiefdomCode,Chiefdom,SectionCode,Section,LocalityCode,Locality,chf,loc,CHIEFDOM_SECTION,geonm_placename,geonm_nm,geonm_altnm,geonm_long,geonm_lat,geonm_dist,osm_placename,osm_nm,osm_long,osm_lat,osm_dist
1.0,East,2.0,KENEMA,9.0,LOWER BAMBARA,2.0,NYAWA,7.0,NYAWA SEMEWABU,LOWER BAMBARA,SEMEWABU,LOWER BAMBARA_NYAWA,SEMEWABU,Semiwabu,Semiwabu,-11.05183,8.19991,1,SEMEWABU,Simbabu,-11.0437952,8.1170169,3
3.0,South ,1.0,BO,11.0,LUGBU,1.0,GAO,1.0,BONTIWO,LUGBU,BONTIWO,LUGBU_GAO,BONTIWO,Bontiwo,"Bontiwo,Bontiworo",-11.81455,7.68085,0,BONTIWO,Bontiworo,-11.8143122,7.6810885,2
3.0,South ,1.0,BO,11.0,LUGBU,1.0,GAO,2.0,UPPER SAAMA,LUGBU,UPPER SAAMA,LUGBU_GAO,UPPER SAAMA,Upper Saama,"Saama,Upper Saama",-11.85948,7.66712,0,UPPER SAAMA,Upper Saama,-11.8593626,7.6667114,0
3.0,South ,1.0,BO,11.0,LUGBU,2.0,KAMBA,1.0,FEIBA,LUGBU,FEIBA,LUGBU_KAMBA,FEIBA,Feba,"Feba,Febana,Febena",-11.92247,7.68386,1,FEIBA,Bamba,-11.9310733,7.6283102,3
3.0,South ,1.0,BO,11.0,LUGBU,2.0,KAMBA,2.0,YAMBAMA,LUGBU,YAMBAMA,LUGBU_KAMBA,YAMBAMA,Yambama,"Yambama,Yameama,Yamoama",-11.89528,7.65444,0,YAMBAMA,Yameama,-11.8939826,7.6533887,1
3.0,South ,1.0,BO,11.0,LUGBU,3.0,MAGBAO,1.0,HIMA,LUGBU,HIMA,LUGBU_MAGBAO,HIMA,Hima,Hima,-11.90102,7.73979,0,HIMA,Hima,-11.9017226,7.7391402,0
3.0,South ,1.0,BO,11.0,LUGBU,3.0,MAGBAO,2.0,KARLEH,LUGBU,KARLEH,LUGBU_MAGBAO,KARLEH,Kale,Kale,-11.85185,7.72063,2,KARLEH,Kale,-11.85132,7.7200313,2
3.0,South ,1.0,BO,11.0,LUGBU,4.0,YORMA,1.0,KPETEWOMA LUGBU,LUGBU,KPETEWOMA LUGBU,LUGBU_YORMA,KPETEWOMA LUGBU,Kpetewoma,"Kpetewoma,Patewoma,Petewoma",-11.81555,7.73211,6,KPETEWOMA LUGBU,Petewoma,-11.8160698,7.7303733,7
2.0,North ,1.0,BOMBALI,6.0,MAGBAIMBA NDORH,0.0,HUNDUWA,1.0,HUNDUWA HUNDUWA,MAGBAIMBA NDORH,HUNDUWA,MAGBAIMBA NDORH_HUNDUWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.0,North ,1.0,BOMBALI,7.0,MAKARI GBANTI,1.0,MABANTA,1.0,MABANTA KUNSHO,MAKARI GBANTI,KUNSHO,MAKARI GBANTI_MABANTA,KUNSHO,Kunshu,Kunshu,-12.07725,8.95159,1,KUNSHO,Kunshu,-12.0771454,8.9515212,1
